match_id	batting_team	bowling_team	ball	runs	player_dismissed	city	venue
2	Australia	Sri Lanka	14.5	3	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	14.6	2	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.1	0	MC Henriques		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.2	1	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.3	2	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.4	1	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.5	2	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.6	1	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	15.7	6	0		Melbourne Cricket Ground
2	Australia	Sri Lanka	16.1	2	0		Melbourne Cricket Ground
